cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
129,1.935,1,1,1,0,1,0,4,20.0,80.0,0,1,0.0,66.7,0.02,143.08,0.0001,0.7949,13.5455,5.3122,0.9308,4.5737,1.4321,1,129.93
130,1.95,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.01,141.72,0.0001,0.7873,13.445,5.2428,1.1007,5.7046,2.5631,1,134.94
131,1.965,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.01,140.55,0.0001,0.7809,13.3307,5.2936,1.0824,0.5524,3.694,1,135.74
132,1.98,1,1,0,1,0,1,4,20.0,140.0,0,3,0.0,200.0,0.01,148.83,0.0001,0.8269,13.1535,5.3787,1.0968,1.6834,4.825,1,138.67
133,1.995,1,1,0,1,0,1,4,20.0,140.0,0,2,0.0,133.3,0.01,146.68,0.0,0.8149,13.1544,5.4401,1.0324,2.8144,5.956,1,138.0
134,2.01,1,1,1,1,1,1,6,20.0,200.0,0,2,0.0,133.3,0.01,144.82,0.0,0.8045,13.1863,5.4929,0.9437,3.9454,0.8038,1,141.02
135,2.025,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.01,143.22,0.0,0.7957,13.1114,5.4295,1.0611,5.0763,1.9347,1,144.43
136,2.04,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,0.01,151.13,0.0,0.8396,13.0365,5.3841,1.1419,6.2073,3.0657,1,147.8
137,2.055,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.0,148.65,0.0,0.8258,12.8382,5.4295,1.141,1.0551,4.1967,1,149.5
138,2.07,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,0.0,155.8,0.0,0.8656,12.7336,5.488,1.0952,2.1861,5.3277,1,150.32
139,2.085,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.0,152.67,0.0,0.8482,12.7399,5.5565,0.9959,3.317,0.1754,1,150.06
140,2.1,1,1,1,1,1,1,6,200.0,200.0,2,3,133.3,200.0,18.58,159.26,0.1032,0.8848,12.731,5.6118,0.9228,4.448,1.3064,0,153.1
141,2.115,1,1,1,0,1,1,5,200.0,140.0,2,2,133.3,133.3,34.56,155.65,0.192,0.8647,12.6478,5.4997,1.1048,5.579,2.4374,0,158.71
142,2.13,1,1,1,0,1,1,5,200.0,140.0,3,2,200.0,133.3,57.6,152.54,0.32,0.8475,12.4979,5.4802,1.0747,0.4268,3.5684,0,160.26
143,2.145,1,1,0,1,0,1,4,140.0,140.0,2,2,133.3,133.3,68.15,149.87,0.3786,0.8326,12.2589,5.4723,1.0854,1.5577,4.6993,0,162.89
144,2.16,0,1,0,1,0,1,3,80.0,140.0,1,3,66.7,200.0,67.95,156.85,0.3775,0.8714,12.2101,5.5508,1.0616,2.6887,5.8303,0,161.49
145,2.175,1,1,1,1,0,1,5,200.0,140.0,2,2,133.3,133.3,77.05,153.57,0.4281,0.8532,12.157,5.618,0.975,3.8197,0.6781,0,165.15
146,2.19,1,0,1,0,1,0,3,140.0,80.0,3,1,200.0,66.7,94.18,141.47,0.5232,0.7859,12.0356,5.6198,1.0628,4.9507,1.8091,0,167.78
147,2.205,1,1,1,0,1,1,5,200.0,140.0,2,1,133.3,66.7,99.63,131.05,0.5535,0.7281,11.9354,5.54,1.1204,6.0816,2.94,0,171.67
148,2.22,1,1,1,0,1,1,5,200.0,140.0,3,2,200.0,133.3,113.61,131.37,0.6312,0.7298,11.7194,5.4405,1.0803,0.9294,4.071,0,172.38
