seed,no_pillar,pillar_y,readout,stim,spatial,n_strips,n_read_left,n_read_right,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition,scene,input
3,False,10.0,population,visual,True,4,116,114,-28.426169753598202,15.464638324562127,15.093215967921994,-3.368956849705893,0.11331787852570414,0.012003070797218242,0.25,0.10099045187234879,0.8016771490127952,0.6665604058879905,0.13511674312480487,0.7728722077256178,0.8134667564747791,9.699235598168165,20.594701017816753,216.85413555100968,B2: сбоку-слева,B2,пространственный
4,False,10.0,population,visual,True,4,116,114,-2.986799725413192,15.830648254302087,15.633389066095225,-2.4912989502530594,0.071371758133173,0.056171800456941125,0.22136980295181274,0.09987582266330719,0.7450054064095137,0.7268686668765051,0.018136739533008515,0.6592690207777016,0.7110373811742849,10.221451942300456,21.11267009587073,209.07213397399755,B2: сбоку-слева,B2,пространственный
5,False,10.0,population,visual,True,4,116,114,-12.745066416383196,15.95663017895905,15.884040749202892,-1.5202947561998508,0.09685472522163764,0.036837865943089125,0.2641274929046631,0.08706407994031906,0.7777387313922378,0.7147327550114225,0.06300597638081515,0.7963008768192477,0.8357218564944562,9.492210287988762,20.225484941134663,220.1146806869947,B2: сбоку-слева,B2,пространственный
6,False,10.0,population,visual,True,4,116,114,-21.201556721345185,15.524130985878323,15.294498583995551,-2.6602548620133266,0.09425820397795177,0.024742171571124346,0.2504146695137024,0.07342038303613663,0.7853472004905452,0.6849221243036112,0.10042507618693375,0.8000669233397791,0.8437192493969955,9.779010804441462,20.54029867715219,220.00397679000162,B2: сбоку-слева,B2,пространственный
7,False,10.0,population,visual,True,4,116,114,-4.121853170548093,15.868391995732908,15.84590168713514,-0.8445497332235644,0.08381326211849227,0.05664260501042009,0.24513928592205048,0.1746729165315628,0.7399858071517816,0.7283097814665455,0.011676025685235958,0.6942747708607985,0.7426176880746396,10.016509223935897,19.874938143810198,215.1553138540039,B2: сбоку-слева,B2,пространственный
0,True,,population,visual,True,4,116,114,-8.261206056499645,15.055378792383054,15.054898358130497,-0.12027472093941727,0.03604536728933454,0.01942447744011588,0.08874303102493286,0.05879250913858414,0.7136800510659828,0.6762632269912018,0.037416824074781016,0.01301193316723491,0.13259743139054586,,,234.18721612200898,контроль: пусто,ctrl,пространственный
1,True,,population,visual,True,4,116,114,-8.23615983053918,14.87327612232296,14.654422042715456,-2.5420970093286397,0.06214332122239284,0.013728448774236313,0.10667961835861206,0.20091992616653442,0.7204448897111447,0.6717728581860151,0.04867203152513005,0.6643155223165528,0.7130293315989619,,,215.57410682599584,контроль: пусто,ctrl,пространственный
2,True,,population,visual,True,4,116,114,21.410014119635264,14.986478498937386,14.941657270965136,-1.1581950596195916,0.012374903752061073,0.04493799533054698,0.10895080119371414,0.07975990325212479,0.6640049309143936,0.7221473029423704,-0.05814237202797684,0.5244521842052097,0.5668857343255838,,,216.27417557699664,контроль: пусто,ctrl,пространственный
3,True,,population,visual,True,4,116,114,-12.57480371802069,14.75411907963184,14.747763320798466,-0.4330206111349914,0.052153809294104576,0.006400895899223542,0.07931481301784515,0.10099045187234879,0.7091774898448846,0.6556610303786716,0.053516459466212696,0.5586160775581563,0.5977844847690394,,,225.41183616600756,контроль: пусто,ctrl,пространственный
4,True,,population,visual,True,4,116,114,11.486887510358173,14.934256525521333,14.885017913345974,1.2117176607799258,0.01012779362295987,0.0413786687515676,0.03274499624967575,0.06815629452466965,0.6533334419780013,0.7260364973751173,-0.0727030553971159,0.0004801360493283438,0.08072042789704227,,,236.85937753699545,контроль: пусто,ctrl,пространственный
